Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S40578545,Northern Gannet,Morus bassanus,1964,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Great Cormorant,Phalacrocorax carbo,1984.04,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Double-crested Cormorant,Phalacrocorax auritus,1988,1,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,Not to be used for scientific purposes.,Baseline list for eBird alerts purposes.
S40578545,cormorant sp.,Phalacrocoracidae sp.,2055,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Great Blue Heron,Ardea herodias,2118,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Turkey Vulture,Cathartes aura,2362,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Northern Harrier,Circus hudsonius,2657,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Sharp-shinned Hawk,Accipiter striatus,2807,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Cooper's Hawk,Accipiter cooperii,2821,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Sharp-shinned/Cooper's Hawk,Accipiter striatus/cooperii,2822,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Accipiter sp.,Accipiter sp.,2832,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Bald Eagle,Haliaeetus leucocephalus,2881,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Red-tailed Hawk,Buteo jamaicensis,2989,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Rough-legged Hawk,Buteo lagopus,3007,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Buteo sp.,Buteo sp.,3038,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,hawk sp.,Accipitridae sp. (hawk sp.),3041,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,American Coot,Fulica americana,3614.5,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Ruddy Turnstone,Arenaria interpres,4023,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Sanderling,Calidris alba,4059,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Dunlin,Calidris alpina,4060,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Purple Sandpiper,Calidris maritima,4072,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,shorebird sp.,Charadriiformes sp.,4262,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Common/Thick-billed Murre,Uria aalge/lomvia,4262.32,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Razorbill,Alca torda,4262.33,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,large alcid sp.,Uria/Alca sp.,4262.36,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Black Guillemot,Cepphus grylle,4262.38,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,alcid sp.,Alcidae sp.,4262.82,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Black-legged Kittiwake,Rissa tridactyla,4264,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Bonaparte's Gull,Chroicocephalus philadelphia,4276,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Ring-billed Gull,Larus delawarensis,4319,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Herring Gull,Larus argentatus,4328,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Iceland Gull,Larus glaucoides,4348.7,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Herring x Glaucous Gull (hybrid),Larus argentatus x hyperboreus,4369.3,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,white-winged gull sp.,Larus sp. (white-winged gull sp.),4369.9,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Great Black-backed Gull,Larus marinus,4371,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Larus sp.,Larus sp.,4378,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,gull sp.,Larinae sp.,4379,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),4686.5,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Mourning Dove,Zenaida macroura,5015,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Eastern Screech-Owl,Megascops asio,7160,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
